,Age,StrService,HoursPerDay,WhileWorking,Instrumentalist,Composer,FavGenre,Exploratory,ForeignLanguages,FrequencyClassical,FrequencyCountry,FrequencyEDM,FrequencyFolk,FrequencyGospel,FrequencyHipHop,FrequencyJazz,FrequencyKpop,FrequencyLatin,FrequencyLofi,FrequencyMetal,FrequencyPop,FrequencyR&B,FrequencyRap,FrequencyRock,FrequencyVideoGameMusic,Anxiety,Depression,Insomnia,OCD,MusicEffects,BPM
0,19,Spotify,2.0,Да,Нет,Нет,Classical,Нет,Нет,Очень часто,Никогда,Никогда,Никогда,Никогда,Редко,Редко,Никогда,Никогда,Иногда,Никогда,Очень часто,Никогда,Никогда,Никогда,Очень часто,4,4,4,3,Нет эффекта,120.0
1,16,Spotify,1.0,Да,Нет,Нет,Classical,Нет,Нет,Очень часто,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Редко,0,0,0,0,Нет эффекта,75.0
2,17,Spotify,3.0,Да,Нет,Нет,Classical,Да,Да,Очень часто,Никогда,Очень часто,Никогда,Никогда,Очень часто,Иногда,Иногда,Редко,Иногда,Никогда,Иногда,Очень часто,Очень часто,Редко,Иногда,6,6,8,2,Улучшение,120.0
3,36,Spotify,1.0,Нет,Да,Да,Classical,Нет,Нет,Очень часто,Иногда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,Редко,Никогда,Никогда,Иногда,Никогда,8,9,3,0,Нет эффекта,132.0
4,16,Apple Music,2.0,Да,Да,Нет,Classical,Да,Нет,Очень часто,Никогда,Никогда,Никогда,Никогда,Редко,Иногда,Никогда,Никогда,Никогда,Никогда,Редко,Редко,Редко,Иногда,Редко,0,0,1,3,Улучшение,115.0
5,24,Spotify,4.0,Да,Нет,Нет,Classical,Да,Да,Очень часто,Редко,Редко,Никогда,Никогда,Редко,Редко,Никогда,Никогда,Никогда,Иногда,Очень часто,Редко,Никогда,Очень часто,Редко,4,6,5,3,Улучшение,175.0
6,25,Не пользуюсь,0.5,Нет,Да,Нет,Classical,Нет,Нет,Очень часто,Никогда,Никогда,Никогда,Редко,Никогда,Иногда,Никогда,Иногда,Никогда,Редко,Редко,Редко,Никогда,Очень часто,Иногда,1,1,3,1,Улучшение,140.0
7,19,Spotify,3.0,Да,Да,Нет,Classical,Да,Нет,Очень часто,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Иногда,Никогда,Очень часто,Никогда,Никогда,Редко,Иногда,3,3,1,2,Улучшение,122.0
8,31,Spotify,4.0,Да,Да,Нет,Classical,Нет,Да,Очень часто,Никогда,Редко,Никогда,Редко,Иногда,Редко,Никогда,Иногда,Никогда,Иногда,Редко,Никогда,Иногда,Иногда,Никогда,6,8,9,5,Улучшение,103.0
9,23,Не пользуюсь,6.0,Да,Нет,Да,Classical,Нет,Да,Очень часто,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Редко,6,5,6,8,Улучшение,96.0
10,29,Spotify,5.0,Да,Да,Да,Classical,Да,Да,Очень часто,Никогда,Никогда,Редко,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Редко,Иногда,Редко,Никогда,Иногда,Никогда,7,2,2,0,Улучшение,115.0
11,17,Spotify,4.0,Нет,Да,Нет,Classical,Да,Да,Очень часто,Никогда,Никогда,Никогда,Никогда,Очень часто,Очень часто,Редко,Очень часто,Иногда,Иногда,Редко,Иногда,Редко,Никогда,Редко,7,9,2,8,Ухудшение,135.0
12,32,Apple Music,0.5,Нет,Нет,Нет,Classical,Да,Нет,Очень часто,Никогда,Иногда,Редко,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Иногда,Редко,Никогда,Никогда,Очень часто,Редко,3,0,4,4,Нет эффекта,115.0
13,31,Spotify,8.0,Да,Да,Нет,Classical,Да,Да,Очень часто,Никогда,Редко,Редко,Никогда,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Редко,5,7,5,4,Улучшение,115.0
14,17,YouTube Music,6.0,Да,Да,Нет,Classical,Да,Да,Очень часто,Редко,Никогда,Никогда,Никогда,Редко,Иногда,Редко,Никогда,Иногда,Никогда,Очень часто,Никогда,Никогда,Никогда,Редко,4,2,0,0,Улучшение,120.0
15,32,Pandora,2.0,Да,Да,Нет,Classical,Да,Нет,Очень часто,Иногда,Редко,Очень часто,Иногда,Иногда,Иногда,Редко,Иногда,Редко,Очень часто,Очень часто,Иногда,Редко,Очень часто,Очень часто,8,7,5,4,Улучшение,115.0
16,24,Spotify,3.0,Да,Да,Нет,Classical,Нет,Да,Очень часто,Никогда,Никогда,Никогда,Редко,Редко,Никогда,Никогда,Иногда,Редко,Иногда,Редко,Никогда,Редко,Никогда,Никогда,9,6,1,1,Улучшение,75.0
17,19,Apple Music,3.0,Нет,Да,Нет,Classical,Да,Нет,Очень часто,Редко,Никогда,Редко,Редко,Иногда,Редко,Никогда,Никогда,Никогда,Редко,Иногда,Никогда,Никогда,Очень часто,Иногда,7,6,4,0,Улучшение,115.0
18,16,Другое,3.0,Да,Да,Да,Classical,Нет,Нет,Очень часто,Редко,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Очень часто,Никогда,Никогда,Никогда,Редко,9,7,10,6,Нет эффекта,72.0
19,54,Не пользуюсь,6.0,Да,Нет,Нет,Classical,Нет,Нет,Очень часто,Иногда,Никогда,Никогда,Никогда,Иногда,Редко,Редко,Редко,Никогда,Редко,Иногда,Иногда,Редко,Редко,Никогда,2,2,3,2,Улучшение,115.0
20,14,Spotify,2.0,Да,Да,Нет,Classical,Да,Нет,Очень часто,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Редко,Иногда,Иногда,Никогда,Редко,Очень часто,Редко,7,5,3,2,Улучшение,181.0
21,13,Другое,4.0,Да,Да,Да,Classical,Да,Нет,Очень часто,Никогда,Иногда,Редко,Никогда,Никогда,Редко,Редко,Никогда,Никогда,Редко,Очень часто,Никогда,Никогда,Иногда,Иногда,8,5,10,3,Улучшение,126.0
22,14,Spotify,4.0,Да,Да,Нет,Classical,Да,Нет,Очень часто,Никогда,Редко,Никогда,Никогда,Иногда,Иногда,Редко,Редко,Редко,Иногда,Иногда,Иногда,Иногда,Иногда,Редко,6,8,8,2,Улучшение,106.0
